id,value
Uniandes,
Uniandes.CIDER,
Uniandes.CIDER.Especialización,
Uniandes.CIDER.Especialización.Gestión y Planificación Territorial
Uniandes.CIDER.Especialización.Organizaciones Responsabilidad Social y Desarrollo
Uniandes.CIDER.Especialización.Estado, Políticas Públicas ​y Desarrollo
Uniandes.CIDER.Maestría,
Uniandes.CIDER.Maestría.Planificación Urbana y Regional​​​,6714
Uniandes.CIDER.Maestría.Género​​​,6714
Uniandes.CIDER.Maestría.Estudios Interdisciplinarios sobre Desarrollo​,743
Uniandes.CIDER.Doctorado,
Uniandes.CIDER.Doctorado.Estudios Interdisciplinarios sobre De​sarrollo,3534
Uniandes.Escuela de Gobierno,
Uniandes.Escuela de Gobierno.Pregrado,
Uniandes.Escuela de Gobierno.Pregrado.Gobierno y asuntos publicos,3938
Uniandes.Escuela de Gobierno.Maestría,
Uniandes.Escuela de Gobierno.Maestría.Politicas públicas,6714
Uniandes.Escuela de Gobierno.Maestría.Salud Pública,6714
Uniandes.Escuela de Gobierno.Maestría.Gestión Pública,743
Uniandes.Administración,
Uniandes.Administración.Pregrado,
Uniandes.Administración.Pregrado.Administración,3938
Uniandes.Administración.Pregrado.Contaduría Internacional,3812
Uniandes.Administración.Especialización,
Uniandes.Administración.Especialización.Administración financiera,3938
Uniandes.Administración.Especialización.Negociación,3812
Uniandes.Administración.Especialización.Inteligencia de mercados,3812
Uniandes.Administración.MBA,
Uniandes.Administración.MBA.Ejecutivo,3938
Uniandes.Administración.MBA.Tiempo completo - parcial,3812
Uniandes.Administración.Maestría,
Uniandes.Administración.Maestría.Mercadeo,6714
Uniandes.Administración.Maestría.Finanzas,6714
Uniandes.Administración.Maestría.Gerencia ambiental,743
Uniandes.Administración.Maestría.Gerencia y práctica del desarrollo,6714
Uniandes.Administración.Maestría.Gestión de la cadena de suministro,6714
Uniandes.Administración.Maestría.Internacional en finanzas,743
Uniandes.Administración.Doctorado,
Uniandes.Administración.Doctorado.Administración,3534
Uniandes.Arquitectura y diseño,
Uniandes.Arquitectura y diseño.Pregrado,
Uniandes.Arquitectura y diseño.Pregrado.Arquitectura,3938
Uniandes.Arquitectura y diseño.Pregrado.Diseño,3812
Uniandes.Arquitectura y diseño.Maestría,
Uniandes.Arquitectura y diseño.Maestría.Arquitectura,6714
Uniandes.Arquitectura y diseño.Maestría.Diseño,6714
Uniandes.Arquitectura y diseño.Maestría.Gestion Estratégica de Proyectos de Arquitectura,743
Uniandes.Artes y humanidades,
Uniandes.Artes y humanidades.Pregrado,
Uniandes.Artes y humanidades.Pregrado.Arte,3938
Uniandes.Artes y humanidades.Pregrado.Historia del arte,3812
Uniandes.Artes y humanidades.Pregrado.Música,3938
Uniandes.Artes y humanidades.Pregrado.Narrativas digitales,3812
Uniandes.Artes y humanidades.Pregrado.Literatura,3938
Uniandes.Artes y humanidades.Maestría,
Uniandes.Artes y humanidades.Maestría.Artes plasticas,6714
Uniandes.Artes y humanidades.Maestría.Historia del arte,6714
Uniandes.Artes y humanidades.Maestría.Humanidades digitales,743
Uniandes.Artes y humanidades.Maestría.Literatura,6714
